,log2FoldChange,padj,baseMean,name
ENSG00000266972,6.248203053,1.62E-05,5.100128841,
ENSG00000139973,6.235126873,1.94E-06,8.211210817,
ENSG00000196189,6.234516123,5.53E-45,6185.819208,
ENSG00000225976,6.23369646,1.39E-24,136.2153604,
ENSG00000150764,6.232584173,1.60E-12,122.2741681,
ENSG00000109881,6.215228211,3.75E-37,174.6207752,
ENSG00000267369,6.18342608,1.76E-20,213.8916656,
ENSG00000177675,6.179584728,4.12E-08,17.45103691,
ENSG00000266999,6.179152312,5.96E-06,6.023925668,
ENSG00000229689,6.179050673,1.88E-10,23.62198634,
ENSG00000129277,6.164429172,1.03E-26,375.4226983,
ENSG00000048462,6.163781626,1.30E-44,6634.26584,
ENSG00000136943,6.16048137,1.82E-07,16.91589231,
ENSG00000093217,6.14946875,2.12E-20,62.95177101,
ENSG00000115163,6.141719292,7.04E-41,456.6357349,
ENSG00000150051,6.141494413,5.88E-08,18.4778582,
ENSG00000254244,6.139909653,1.72E-09,23.31916733,
ENSG00000101280,6.134409024,2.90E-05,4.883781788,
ENSG00000262823,6.133087314,3.71E-05,5.307600153,
ENSG00000008394,6.130968597,1.06E-09,20.97147218,
ENSG00000164087,6.129788428,1.24E-41,397.5463632,
ENSG00000161800,6.121029519,2.54E-61,1434.793764,
ENSG00000186187,6.118570216,2.82E-16,78.32255647,
ENSG00000248839,6.113744371,2.08E-06,9.251739806,
ENSG00000112759,6.100907644,3.56E-63,544.1501927,
ENSG00000186743,6.088050797,2.76E-06,10.69855508,
ENSG00000166002,6.082095297,1.44E-34,140.5252347,
ENSG00000117632,6.071868005,1.32E-52,4022.601372,
ENSG00000165409,6.070205037,2.67E-15,175.7218715,
ENSG00000104889,6.06325112,4.78E-51,590.3123316,
ENSG00000134802,6.059249816,4.73E-41,646.2070619,
ENSG00000150637,6.033226239,1.23E-53,1328.33029,
ENSG00000104043,6.033210361,3.60E-20,75.43453208,
ENSG00000163808,6.031101744,7.59E-50,499.4337198,
ENSG00000203760,6.017059081,1.25E-25,455.1326368,
ENSG00000197077,6.01258106,4.92E-05,4.556943373,
