ID,log2FC,FDR
ENSG00000257591.5,0.455886703,4.77E-06
ENSG00000197566.9,-0.275390303,0.000124918
ENSG00000183309.11,0.610348444,1.73E-14
ENSG00000173545.4,0.423773774,3.36E-15
ENSG00000172888.11,-0.154558555,0.032589996
ENSG00000177842.11,-0.197255127,0.062959325
ENSG00000204611.6,-0.275494261,6.25E-06
ENSG00000197619.13,-0.364434626,3.64E-06
ENSG00000142556.18,-0.354909862,5.37E-06
ENSG00000176024.16,0.108887685,0.280937078
ENSG00000167554.14,0.147049991,0.250151121
ENSG00000180357.9,0.143024643,0.091812651
ENSG00000168916.15,-1.410000667,1.10E-29
ENSG00000198182.12,0.24670953,0.001013212
ENSG00000166704.11,0.314135176,0.000493718
ENSG00000189190.8,0.095170041,0.191147007
ENSG00000167962.12,0.831492704,2.10E-30
ENSG00000167981.5,-0.155371,0.218755834
ENSG00000172748.12,-0.734710848,1.92E-16
ENSG00000272602.5,-0.408265999,9.38E-08
ENSG00000180626.9,-0.307681177,0.00043002
ENSG00000142684.7,0.793956719,1.68E-15
ENSG00000166716.9,-0.263787251,1.93E-07
ENSG00000164048.13,-0.228894896,0.000196236
ENSG00000269343.6,0.614694878,4.45E-11
ENSG00000198466.11,0.762879753,2.77E-10
ENSG00000083828.15,0.121182832,0.114795381
ENSG00000245680.9,-0.106421334,0.191147007
ENSG00000196967.10,-0.08483835,0.237199669
ENSG00000198440.9,-0.274320005,0.002015576
ENSG00000018869.16,-0.647089045,7.66E-10
ENSG00000171425.9,0.547621013,1.74E-13
ENSG00000213015.8,0.215119633,0.017208683
ENSG00000218891.4,0.836798517,1.73E-17
ENSG00000258405.9,-1.279591955,8.60E-22
ENSG00000161551.12,-0.592272644,1.67E-09
ENSG00000124444.15,0.166192644,0.00128261
ENSG00000176472.10,-0.277379609,3.51E-05
ENSG00000105732.11,0.386204302,1.87E-13
ENSG00000189144.13,-0.460974399,1.80E-06
ENSG00000180479.13,-0.147532118,0.040636002
ENSG00000171827.10,-0.153144785,0.041641099
ENSG00000198453.12,-0.249380539,0.000657676
ENSG00000189042.13,-0.116441397,0.14160387
ENSG00000196357.11,0.086715779,0.168450934
ENSG00000171469.10,-0.538155301,1.10E-21
ENSG00000198028.3,-0.596098135,0.00748343
ENSG00000270011.6,-0.763528344,8.95E-10
ENSG00000188321.13,-0.989807516,8.80E-39
ENSG00000167785.8,-0.196322014,0.006962221
ENSG00000172000.7,-0.648172115,0.008391661
ENSG00000186300.11,-0.317928759,1.24E-06
ENSG00000172006.11,-0.186613873,0.00179773
ENSG00000178935.5,1.178640816,5.51E-12
ENSG00000204519.10,-0.230983379,0.014497822
ENSG00000251369.8,-0.155169725,0.07979824
ENSG00000121406.8,-0.307026379,0.003355684
ENSG00000188785.11,-0.279843249,1.27E-05
ENSG00000187187.13,-0.570057138,1.49E-14
ENSG00000198131.13,0.474836568,1.88E-12
ENSG00000118156.12,-0.398034866,0.015343078
ENSG00000171817.16,-1.185391896,1.43E-33
ENSG00000198597.8,-1.311981985,5.89E-12
ENSG00000198633.10,-1.026888955,2.87E-08
ENSG00000074657.13,-0.462416292,1.47E-08
ENSG00000183647.10,0.174982492,0.023591304
ENSG00000186020.12,-0.170868224,0.009145106
ENSG00000167555.13,-0.288762308,0.013304988
ENSG00000189164.14,-0.33651107,1.95E-09
ENSG00000167625.10,0.26332832,1.50E-09
ENSG00000203326.9,0.635145759,3.84E-15
ENSG00000171443.6,0.261680998,0.00936589
ENSG00000198795.10,-1.382839152,2.40E-32
ENSG00000175322.11,-0.672867658,4.29E-17
ENSG00000178163.7,-0.495236746,8.85E-06
ENSG00000177853.14,-0.336551752,1.35E-05
ENSG00000197363.9,0.543501404,2.81E-11
ENSG00000101493.10,-0.234811887,0.115910419
ENSG00000144026.11,-0.143210462,0.051409135
ENSG00000163795.13,0.494363239,1.89E-12
ENSG00000196700.7,0.478642132,1.19E-10
ENSG00000243943.9,-0.335386101,4.14E-06
ENSG00000198546.14,0.199533484,0.003950559
ENSG00000081386.12,-0.500666658,9.89E-15
ENSG00000168813.16,-0.519474699,5.06E-19
ENSG00000081665.13,-0.513624364,2.63E-11
ENSG00000165655.15,-0.878111719,5.22E-12
ENSG00000196653.11,-1.657056579,1.73E-49
ENSG00000186446.11,-1.019769268,4.12E-26
ENSG00000103199.13,0.351324215,9.08E-08
ENSG00000174586.10,0.9717921,1.10E-22
ENSG00000162714.12,0.206867669,0.001883779
ENSG00000196268.11,-0.529805123,2.24E-08
ENSG00000229676.2,-0.675165447,0.003864961
ENSG00000177599.12,-0.349774149,0.000248881
ENSG00000265763.3,-1.862388772,1.81E-26
ENSG00000243660.9,-0.250288776,8.92E-05
ENSG00000198298.12,0.46173171,2.21E-08
ENSG00000127081.13,-0.273058067,0.004126856
ENSG00000173258.12,-1.649237235,2.68E-38
ENSG00000198464.13,0.525130194,1.42E-17
ENSG00000180035.10,1.045399085,3.16E-47
ENSG00000185177.12,0.090073166,0.300685727
ENSG00000164185.4,0.588374252,2.11E-05
ENSG00000142528.15,0.130664424,0.045174346
ENSG00000196263.7,-1.519844757,4.07E-34
ENSG00000197016.11,-0.64620948,3.70E-14
ENSG00000225614.2,1.031163004,1.16E-12
ENSG00000204604.9,0.597952965,8.40E-12
ENSG00000181444.12,1.272817781,6.42E-22
ENSG00000148143.12,-1.643762882,1.94E-40
ENSG00000197714.8,-0.400514821,0.000178721
ENSG00000178187.7,-1.330425795,6.65E-29
ENSG00000112200.16,-0.182072653,0.00127858
ENSG00000124459.11,-0.273744329,2.78E-05
ENSG00000173275.12,-0.433593693,8.15E-14
ENSG00000083838.15,0.552110348,2.21E-11
ENSG00000185219.15,-0.197116355,0.002761971
ENSG00000167685.14,0.726025661,5.58E-20
ENSG00000180855.15,0.480713933,3.53E-10
ENSG00000198342.9,-0.247307596,0.022267566
ENSG00000197044.10,-0.613970954,3.30E-13
ENSG00000171295.12,0.211063586,0.017785356
ENSG00000197857.13,-0.226460244,0.004772447
ENSG00000183621.15,-0.669073322,3.09E-38
ENSG00000125945.14,-0.598043751,3.71E-22
ENSG00000118620.12,-0.200856316,0.005650037
ENSG00000198521.11,0.361207576,0.002338706
ENSG00000197013.9,-0.269398496,0.001238051
ENSG00000131116.11,0.769413166,6.37E-19
ENSG00000130818.10,-0.52483611,3.00E-13
ENSG00000102935.11,-1.548390263,1.75E-40
ENSG00000173480.10,-0.252498517,0.014692442
ENSG00000083817.8,-0.169882404,0.004758312
ENSG00000170954.11,-0.354374518,0.000332262
ENSG00000133250.13,0.353112335,2.03E-05
ENSG00000119725.17,0.15641252,0.001270815
ENSG00000147124.12,-0.189463973,0.011911145
ENSG00000175213.2,0.599872066,5.83E-25
ENSG00000215421.9,-0.352370633,5.32E-08
ENSG00000176222.8,-0.613775454,9.42E-11
ENSG00000197024.8,0.108410249,0.040788843
ENSG00000186812.12,-0.244740662,0.000357161
ENSG00000186918.13,-0.875709803,2.24E-31
ENSG00000160908.14,-0.092202639,0.046821386
ENSG00000124613.8,-1.325689737,3.41E-28
ENSG00000151789.9,-1.875923135,9.35E-37
ENSG00000187595.14,-0.216688094,0.135627552
ENSG00000144331.18,-1.084112508,1.42E-05
ENSG00000161642.17,0.526881286,9.98E-06
ENSG00000188283.11,-0.525265043,4.94E-22
ENSG00000161298.16,0.237514718,0.018910867
ENSG00000165244.6,1.48678734,2.02E-37
ENSG00000178175.11,-1.992997521,5.61E-53
ENSG00000138311.15,0.446252042,0.005483248
ENSG00000160094.14,-0.138629836,0.014614098
ENSG00000177932.6,-1.17287987,8.04E-29
ENSG00000178338.10,-0.59979815,1.02E-20
ENSG00000169131.10,0.128852022,0.041804827
ENSG00000256683.6,0.140836823,0.126406261
ENSG00000169981.10,0.103247818,0.09767544
ENSG00000197937.12,-0.35318043,4.71E-06
ENSG00000113761.11,0.166604651,0.001922534
ENSG00000251247.9,-0.654298558,1.35E-21
ENSG00000131061.13,0.551565511,2.73E-25
ENSG00000196378.11,-0.25906252,4.20E-05
ENSG00000196693.14,-0.503385904,1.14E-12
ENSG00000130684.13,-0.115673586,0.110994698
ENSG00000198026.7,0.269556567,6.45E-08
ENSG00000198185.11,-1.825746538,1.74E-30
ENSG00000160961.11,-0.609005298,3.96E-26
ENSG00000130844.16,-0.636723914,5.61E-22
ENSG00000109445.10,-0.34958432,2.71E-17
ENSG00000181894.14,-0.14016011,0.158379406
ENSG00000162664.16,-0.183719555,0.001197456
ENSG00000249471.7,0.324413406,1.61E-06
ENSG00000221874.4,-0.693736702,0.012145267
ENSG00000182986.12,0.16510395,0.034589082
ENSG00000166188.2,-0.430301512,2.42E-15
ENSG00000171467.15,-0.112820648,0.140233859
ENSG00000205903.6,0.317957804,1.12E-06
ENSG00000197935.6,-0.197166907,0.290110257
ENSG00000131845.14,-0.18709834,0.017641207
ENSG00000089335.20,-0.093618144,0.262131679
ENSG00000145908.12,-1.085560171,1.95E-16
ENSG00000168661.14,0.272366177,0.000334455
ENSG00000166526.16,0.312744362,1.07E-10
ENSG00000170684.8,1.845148139,2.42E-39
ENSG00000188994.12,-0.491008486,1.65E-09
ENSG00000141040.14,-0.241478592,0.004244263
ENSG00000255104.7,-0.893460336,5.05E-06
ENSG00000267508.5,-0.346498331,0.009281799
ENSG00000186026.6,0.141366568,0.093022444
ENSG00000167637.16,-0.155943467,0.029692053
ENSG00000170265.11,0.445670955,2.94E-14
ENSG00000162702.7,0.717697382,1.09E-14
ENSG00000137871.19,-0.604371538,4.71E-33
ENSG00000275004.3,-0.629449819,0.000611204
ENSG00000169548.3,0.346433295,0.075765745
ENSG00000198538.10,0.508471617,4.45E-09
ENSG00000198839.9,-0.288353955,6.19E-09
ENSG00000158805.11,-0.159995391,0.061613556
ENSG00000063587.13,-0.178196922,0.014991721
ENSG00000171606.17,-0.270598354,0.000128315
ENSG00000198039.11,0.391074752,1.63E-07
ENSG00000090612.20,-0.401422253,7.22E-08
ENSG00000185947.14,0.29468163,1.02E-05
ENSG00000174652.17,-0.33219723,1.92E-07
ENSG00000006194.9,0.305605243,1.59E-08
ENSG00000254004.6,0.310545631,2.59E-06
ENSG00000213096.9,0.110007212,0.301047364
ENSG00000198169.8,0.218719674,0.005199075
ENSG00000196150.13,0.317587589,6.04E-06
ENSG00000175395.15,-0.876369599,7.18E-49
ENSG00000198105.11,-0.439229056,7.83E-16
ENSG00000172466.15,0.107825475,0.258942534
ENSG00000196793.13,1.088624104,4.43E-26
ENSG00000159917.14,-0.313545037,5.01E-07
ENSG00000263002.7,-0.235262957,0.000207404
ENSG00000159915.12,0.495432905,9.14E-05
ENSG00000159882.12,-0.231457584,0.000393021
ENSG00000167377.17,-0.502685251,7.74E-21
ENSG00000278318.4,-0.97441508,9.08E-10
ENSG00000131115.15,-0.235168191,3.83E-05
ENSG00000167380.16,-0.157218335,0.011693404
ENSG00000256294.7,-0.376971558,5.64E-09
ENSG00000267680.5,-0.313666651,2.04E-06
ENSG00000178386.12,-0.215753386,0.008827072
ENSG00000159885.13,-0.167992131,0.036148289
ENSG00000159905.14,-0.738564683,1.63E-10
ENSG00000165512.4,-0.668360817,4.90E-20
ENSG00000165804.15,-0.955698355,1.97E-22
ENSG00000171940.13,0.539811863,1.19E-07
ENSG00000149054.14,-0.813637871,2.59E-09
ENSG00000149050.9,-1.080630627,3.39E-11
ENSG00000085644.13,0.755446885,1.16E-28
ENSG00000170260.8,0.193314577,0.000735694
ENSG00000121417.13,-0.361375267,9.44E-08
ENSG00000160321.14,-1.778054547,5.86E-27
ENSG00000010244.16,0.197840022,9.69E-07
ENSG00000122386.10,0.826082351,5.26E-20
ENSG00000166261.10,-0.305173521,3.23E-08
ENSG00000010539.11,0.397723143,4.00E-15
ENSG00000132010.15,0.402560232,2.93E-06
ENSG00000275111.4,0.073994923,0.17810814
ENSG00000186448.14,-0.108056115,0.11306255
ENSG00000157429.15,-0.330171521,1.16E-05
ENSG00000136870.10,-0.478081866,1.61E-19
ENSG00000147394.18,-0.175807795,0.218001375
ENSG00000096654.15,0.226411327,0.000765719
ENSG00000197841.14,-0.297303253,3.23E-06
ENSG00000167384.10,-0.185824225,0.003000434
ENSG00000188629.11,-0.687968975,7.80E-10
ENSG00000105497.7,-0.798182319,2.54E-17
ENSG00000103343.12,0.393704163,6.64E-13
ENSG00000186272.12,-0.373396413,3.11E-10
ENSG00000175787.16,-0.19524376,0.016692203
ENSG00000197279.3,0.710340788,6.76E-13
ENSG00000170949.17,-0.431044132,4.02E-14
ENSG00000170631.14,0.278256349,2.79E-06
ENSG00000147117.7,-1.361744991,2.59E-16
ENSG00000204920.10,-0.277903865,0.000433833
ENSG00000179909.15,-1.447500596,9.75E-35
ENSG00000163848.18,-0.119784938,0.098080885
ENSG00000167635.11,0.319910367,4.32E-07
ENSG00000166478.9,-0.079185918,0.095057809
ENSG00000115568.15,0.113679495,0.045399253
ENSG00000131127.13,-0.297832573,0.000275395
ENSG00000196387.9,-0.092678532,0.248389225
ENSG00000105708.8,-0.234014706,0.001159476
ENSG00000197008.9,0.395117026,7.88E-08
ENSG00000196646.11,-0.3134746,2.34E-06
ENSG00000176293.19,-0.429773105,0.002595783
ENSG00000213762.10,-0.200248448,0.014854691
ENSG00000125846.15,-0.284874487,1.51E-05
ENSG00000131849.10,-1.04245012,1.22E-35
ENSG00000172262.11,0.168519851,0.00290906
ENSG00000196418.12,0.567537434,1.14E-09
ENSG00000197961.11,0.247861205,0.000443099
ENSG00000164631.18,-0.099877681,0.136201265
ENSG00000152926.14,-0.35143125,0.000599646
ENSG00000178150.8,-0.934644427,6.70E-09
ENSG00000062370.16,-0.320467135,5.15E-05
ENSG00000196247.11,0.489033483,1.31E-06
ENSG00000103994.16,-1.339463018,6.85E-81
ENSG00000181896.11,0.31828928,4.52E-05
ENSG00000197020.10,0.222315878,0.022453809
ENSG00000256223.5,-0.639317284,1.54E-16
ENSG00000101040.19,0.521382001,4.48E-11
ENSG00000165724.5,1.009794703,2.52E-43
ENSG00000141497.13,-0.28965122,0.009001465
ENSG00000015171.18,-0.16122921,0.010547192
ENSG00000004838.13,2.068612194,4.13E-18
ENSG00000243749.1,-0.487769979,3.15E-15
ENSG00000163867.16,-0.091153561,0.080990858
ENSG00000132950.18,-0.294732098,7.21E-07
ENSG00000084073.8,0.491091638,8.87E-18
ENSG00000122515.14,0.565546185,4.14E-19
ENSG00000108175.16,0.133676248,0.119251825
ENSG00000100319.12,0.463359191,1.45E-13
ENSG00000172667.10,-0.76628417,6.84E-28
ENSG00000146007.10,0.093710501,0.084339838
ENSG00000166432.14,-0.873150851,1.28E-13
ENSG00000198315.10,-0.513445198,4.00E-11
ENSG00000196345.12,-0.986852333,3.09E-25
ENSG00000196652.11,0.129920646,0.005817874
ENSG00000187626.8,0.18076495,0.002570043
ENSG00000189298.13,-0.132313874,0.050430997
ENSG00000155592.15,0.183637579,0.022706711
ENSG00000106261.16,0.214054723,0.009599656
